text,true_emotion,predicted_emotion
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
@TrussElise Obama must be fuming.. lol,anger,joy
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
I hope my hustle don't offend nobody,anger,sadness
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
@danbloom1 beware the fury of a weak king,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
Eat my ass' is no longer an insult,anger,anger
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,sadness
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
@DJ_JeanFranko growl!!!,anger,anger
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,fear,anger
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
Southend players always haunt Man U,fear,anger
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",fear,fear
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
@joey_coops yes Hun! Avoid at all costs!! ,fear,anger
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear,sadness
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,fear,joy
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,anger
@harrietemmett great minds think alike. #rejoice,joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,fear
A hearty Jonza! to all my friends and follower.,joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
@yungdoujin wouldn't that basically be sparkling water,joy,joy
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
@hesham786 that's the spirit ,joy,joy
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
